DENSIDAD,Partial_Dependence,Cambio_Absoluto,Cambio_Porcentual (%)
1902.326877,0.782827,,
22794.520658,0.799553,0.016726,2.14
43686.714439,0.798135,-0.001419,-0.18
64578.90822,0.79366,-0.004475,-0.56
85471.102001,0.79283,-0.000829,-0.1
106363.295782,0.792775,-5.5e-05,-0.01
127255.489564,0.791562,-0.001213,-0.15
148147.683345,0.788569,-0.002993,-0.38
169039.877126,0.7872,-0.001369,-0.17
189932.070907,0.785796,-0.001403,-0.18
210824.264688,0.784859,-0.000938,-0.12
231716.458469,0.780966,-0.003892,-0.5
252608.65225,0.778023,-0.002944,-0.38
273500.846031,0.776934,-0.001089,-0.14
294393.039812,0.776755,-0.000179,-0.02
315285.233593,0.77678,2.4e-05,0.0
336177.427374,0.777545,0.000765,0.1
357069.621156,0.777528,-1.7e-05,-0.0
377961.814937,0.776787,-0.000741,-0.1
398854.008718,0.776791,3e-06,0.0
419746.202499,0.776087,-0.000704,-0.09
440638.39628,0.775148,-0.000939,-0.12
461530.590061,0.7742,-0.000949,-0.12
482422.783842,0.774195,-4e-06,-0.0
503314.977623,0.774076,-0.000119,-0.02
524207.171404,0.774109,3.3e-05,0.0
545099.365185,0.774086,-2.3e-05,-0.0
565991.558967,0.774099,1.3e-05,0.0
586883.752748,0.774097,-2e-06,-0.0
607775.946529,0.773927,-0.00017,-0.02
628668.14031,0.772923,-0.001004,-0.13
649560.334091,0.771013,-0.00191,-0.25
670452.527872,0.769612,-0.001401,-0.18
691344.721653,0.768614,-0.000998,-0.13
712236.915434,0.768106,-0.000508,-0.07
733129.109215,0.767725,-0.000381,-0.05
754021.302996,0.766642,-0.001083,-0.14
774913.496777,0.766069,-0.000574,-0.07
795805.690559,0.765662,-0.000407,-0.05
816697.88434,0.765476,-0.000186,-0.02
837590.078121,0.765476,0.0,0.0
858482.271902,0.765514,3.8e-05,0.0
879374.465683,0.765475,-3.8e-05,-0.0
900266.659464,0.765475,0.0,0.0
921158.853245,0.765426,-4.9e-05,-0.01
942051.047026,0.765442,1.6e-05,0.0
962943.240807,0.765482,3.9e-05,0.01
983835.434588,0.765482,0.0,0.0
1004727.62837,0.765482,0.0,0.0
1025619.822151,0.765029,-0.000453,-0.06
1046512.015932,0.765081,5.2e-05,0.01
1067404.209713,0.764854,-0.000226,-0.03
1088296.403494,0.764626,-0.000228,-0.03
1109188.597275,0.764421,-0.000205,-0.03
1130080.791056,0.763946,-0.000476,-0.06
1150972.984837,0.764427,0.000481,0.06
1171865.178618,0.764381,-4.6e-05,-0.01
1192757.372399,0.764381,0.0,0.0
1213649.566181,0.764381,0.0,0.0
1234541.759962,0.764852,0.000471,0.06
1255433.953743,0.764852,0.0,0.0
1276326.147524,0.764852,0.0,0.0
1297218.341305,0.764861,9e-06,0.0
1318110.535086,0.764936,7.5e-05,0.01
1339002.728867,0.764948,1.2e-05,0.0
1359894.922648,0.764948,0.0,0.0
1380787.116429,0.764948,0.0,0.0
1401679.31021,0.764812,-0.000136,-0.02
1422571.503991,0.764619,-0.000193,-0.03
1443463.697773,0.764619,0.0,0.0
1464355.891554,0.764619,0.0,0.0
1485248.085335,0.764619,0.0,0.0
1506140.279116,0.764619,0.0,0.0
1527032.472897,0.764619,0.0,0.0
1547924.666678,0.764412,-0.000207,-0.03
1568816.860459,0.764412,0.0,0.0
1589709.05424,0.764412,0.0,0.0
1610601.248021,0.764412,0.0,0.0
1631493.441802,0.764412,0.0,0.0
1652385.635584,0.764328,-8.4e-05,-0.01
1673277.829365,0.764319,-9e-06,-0.0
1694170.023146,0.764848,0.000529,0.07
1715062.216927,0.764238,-0.00061,-0.08
1735954.410708,0.764196,-4.2e-05,-0.01
1756846.604489,0.764118,-7.8e-05,-0.01
1777738.79827,0.764118,0.0,0.0
1798630.992051,0.764088,-3e-05,-0.0
1819523.185832,0.764088,0.0,0.0
1840415.379613,0.764143,5.5e-05,0.01
1861307.573395,0.764143,0.0,0.0
1882199.767176,0.763791,-0.000352,-0.05
1903091.960957,0.763695,-9.5e-05,-0.01
1923984.154738,0.763679,-1.6e-05,-0.0
1944876.348519,0.763643,-3.7e-05,-0.0
1965768.5423,0.763756,0.000114,0.01
1986660.736081,0.763563,-0.000194,-0.03
2007552.929862,0.763428,-0.000135,-0.02
2028445.123643,0.763302,-0.000126,-0.02
2049337.317424,0.761586,-0.001716,-0.22
2070229.511205,0.760248,-0.001338,-0.18
