NIVEL_EJECUCION_PP0101,Partial_Dependence,Cambio_Absoluto,Cambio_Porcentual (%)
0.0,0.329519,,
0.010101,0.769235,0.439716,133.44
0.020202,0.781805,0.01257,1.63
0.030303,0.784219,0.002414,0.31
0.040404,0.790692,0.006473,0.83
0.050505,0.793312,0.00262,0.33
0.060606,0.796705,0.003393,0.43
0.070707,0.807058,0.010353,1.3
0.080808,0.812369,0.005311,0.66
0.090909,0.813051,0.000683,0.08
0.10101,0.816503,0.003452,0.42
0.111111,0.817067,0.000564,0.07
0.121212,0.817239,0.000172,0.02
0.131313,0.817286,4.7e-05,0.01
0.141414,0.817275,-1.1e-05,-0.0
0.151515,0.816989,-0.000286,-0.03
0.161616,0.817276,0.000287,0.04
0.171717,0.817416,0.00014,0.02
0.181818,0.818043,0.000627,0.08
0.191919,0.818106,6.2e-05,0.01
0.20202,0.818285,0.00018,0.02
0.212121,0.818319,3.4e-05,0.0
0.222222,0.818301,-1.8e-05,-0.0
0.232323,0.818407,0.000106,0.01
0.242424,0.818637,0.00023,0.03
0.252525,0.818772,0.000135,0.02
0.262626,0.818555,-0.000217,-0.03
0.272727,0.818414,-0.000141,-0.02
0.282828,0.818253,-0.000161,-0.02
0.292929,0.818442,0.000189,0.02
0.30303,0.818106,-0.000336,-0.04
0.313131,0.81825,0.000145,0.02
0.323232,0.818254,4e-06,0.0
0.333333,0.818374,0.00012,0.01
0.343434,0.818388,1.4e-05,0.0
0.353535,0.818423,3.4e-05,0.0
0.363636,0.818189,-0.000234,-0.03
0.373737,0.818171,-1.8e-05,-0.0
0.383838,0.81807,-0.000101,-0.01
0.393939,0.817961,-0.000109,-0.01
0.40404,0.817902,-5.9e-05,-0.01
0.414141,0.81789,-1.2e-05,-0.0
0.424242,0.817934,4.4e-05,0.01
0.434343,0.818046,0.000111,0.01
0.444444,0.818164,0.000118,0.01
0.454545,0.818036,-0.000127,-0.02
0.464646,0.818159,0.000123,0.01
0.474747,0.818156,-3e-06,-0.0
0.484848,0.81838,0.000224,0.03
0.494949,0.818348,-3.2e-05,-0.0
0.505051,0.818202,-0.000146,-0.02
0.515152,0.818188,-1.5e-05,-0.0
0.525253,0.817566,-0.000622,-0.08
0.535354,0.817707,0.000141,0.02
0.545455,0.817598,-0.000109,-0.01
0.555556,0.817965,0.000367,0.04
0.565657,0.8179,-6.5e-05,-0.01
0.575758,0.817834,-6.6e-05,-0.01
0.585859,0.817585,-0.000249,-0.03
0.59596,0.817563,-2.2e-05,-0.0
0.606061,0.817645,8.3e-05,0.01
0.616162,0.817586,-5.9e-05,-0.01
0.626263,0.817214,-0.000372,-0.05
0.636364,0.817201,-1.3e-05,-0.0
0.646465,0.817054,-0.000147,-0.02
0.656566,0.817027,-2.7e-05,-0.0
0.666667,0.816905,-0.000122,-0.01
0.676768,0.816801,-0.000104,-0.01
0.686869,0.816654,-0.000147,-0.02
0.69697,0.816574,-8e-05,-0.01
0.707071,0.816535,-3.9e-05,-0.0
0.717172,0.81621,-0.000325,-0.04
0.727273,0.816147,-6.3e-05,-0.01
0.737374,0.816201,5.4e-05,0.01
0.747475,0.816309,0.000109,0.01
0.757576,0.815975,-0.000334,-0.04
0.767677,0.816141,0.000166,0.02
0.777778,0.815993,-0.000148,-0.02
0.787879,0.815749,-0.000244,-0.03
0.79798,0.815709,-4.1e-05,-0.0
0.808081,0.815528,-0.00018,-0.02
0.818182,0.815195,-0.000334,-0.04
0.828283,0.815294,0.0001,0.01
0.838384,0.815273,-2.1e-05,-0.0
0.848485,0.814905,-0.000368,-0.05
0.858586,0.814909,4e-06,0.0
0.868687,0.814482,-0.000428,-0.05
0.878788,0.814456,-2.5e-05,-0.0
0.888889,0.814295,-0.000161,-0.02
0.89899,0.814119,-0.000176,-0.02
0.909091,0.813772,-0.000348,-0.04
0.919192,0.813566,-0.000206,-0.03
0.929293,0.813983,0.000417,0.05
0.939394,0.814762,0.000779,0.1
0.949495,0.814672,-9e-05,-0.01
0.959596,0.814771,9.9e-05,0.01
0.969697,0.814365,-0.000406,-0.05
0.979798,0.815458,0.001093,0.13
0.989899,0.81571,0.000252,0.03
1.0,0.807392,-0.008318,-1.02
