Variable,Importancia,Desv_Estandar
NIVEL_EJECUCION_PP0101,0.22063613494981413,0.004522768600769185
LAG_PROP_GASTO_DEPORTE,0.08261143047409822,0.0024579212415633744
PROP_PP0101_SOBRE_TOTAL_PIM,0.060233838803401066,0.001122225514526911
DENSIDAD,0.05845111231042703,0.0014903775137024634
CICLO_ELECTORAL,0.041112292545752396,0.0016074452858673921
POB_VARONES,0.029587370843523985,0.0009187363906649345
POB_15_64,0.025204531829219223,0.000626859851227414
POB_URBANA,0.022504714219109545,0.00067273021012595
PROFESIONALES_PC,0.01893298247097014,0.0005045327582182615
PROP_PIM_TRANSFERENCIAS_PP0101,0.016064569517382943,0.0005357033975114276
JERARQUIA_POLITICA,0.01411156862189138,0.0004992732738696719
INFRA_MENOR,0.005666057854365502,0.00022259454051586222
CAPACIDAD_PLAN,0.004926854626121547,0.00020455665777689743
INFRA_MAYOR,0.0047405676552706,0.00012854802712430023
TRANSPARENCIA,0.0032191749834185267,0.00013446741106539308
PARTICIPACION,0.0020795996063620037,0.0001135826968060719
