Variable,Mean_Abs_SHAP
NIVEL_EJECUCION_PP0101,0.05964359425762099
LAG_PROP_GASTO_DEPORTE,0.039609238809682264
PROP_PP0101_SOBRE_TOTAL_PIM,0.02575896376584015
CICLO_ELECTORAL,0.023798399063427282
DENSIDAD,0.019759602055427563
POB_VARONES,0.00903932670053863
POB_15_64,0.007256017955471644
PROP_PIM_TRANSFERENCIAS_PP0101,0.006719140796821291
POB_URBANA,0.004946036878892705
JERARQUIA_POLITICA,0.004862512539527354
PROFESIONALES_PC,0.00449310761313212
CAPACIDAD_PLAN,0.0019303340289066858
INFRA_MENOR,0.001264385288344357
TRANSPARENCIA,0.0011809025577646083
INFRA_MAYOR,0.0011524863349126175
PARTICIPACION,0.0009401021041566134
